company_name,board_approval_date,address,board_amount,actual_benefit
Marathon Petroleum Company LP,2014-10-28T00:00:00Z,"155 Sugarcane Road, Garyville, LA",8464605,1639068.56
Marathon Petroleum Company LP,2012-10-23T00:00:00Z,"155 Sugarcane Road, Garyville, LA",1872496,361434.96
Marathon Petroleum Company LP,2012-10-23T00:00:00Z,"155 Sugarcane Road, Garyville, LA",4602801,851483.12
M-I SWACO,2012-10-23T00:00:00Z,"301 Wakefield Rd., Cameron, LA",24496360,6220907.74
"Westlake Styrene, LP",2013-10-22T00:00:00Z,"900 Hwy 108, Sulphur, LA",36985685,7753106.98
"ASH Industries, Inc.",2012-10-23T00:00:00Z,"1330 West Willow Avenue, Lafayette, LA",598199,78268.08
Elmer Candy Corporation,2012-10-23T00:00:00Z,"401 N. Fifth St., Ponchatoula, LA",11362196,1370609.47
"Abita Brewing Company, LLC",2013-10-22T00:00:00Z,"21084 Hwy 36, Covington, LA",6115121,1649076.67
Phillips 66 Company,2012-10-23T00:00:00Z,"2200 Old Spanish Trail Road, Westlake, LA",15982539,3025494.63
Stoltz Enterprises Inc,2012-10-23T00:00:00Z,"429 South Street, Slidell, LA",476846,113012.5
"J & Y Investments, LLC",2012-10-23T00:00:00Z,"429 South Street, Slidell, LA",207129,51202.29
"Dresser-Rand Services, LLC",2013-10-22T00:00:00Z,"1550 East Oak Street, Jena, LA",1023160,276253.47
"Haynes International, Inc.",2012-10-23T00:00:00Z,"3786 Second Street, Arcadia, LA",168729,26001.14
"Brookfield District Energy USA, LLC",2012-09-24T00:00:00Z,"1661 Gravier Street, New Orleans, LA",3123888,820957.77
Union Carbide Corporation,2012-10-23T00:00:00Z,"Hwy 18, River Rd, Taft, LA",4355901,1143364.29
Huntsman Petrochemical LLC,2014-12-09T00:00:00Z,"9156 Highway 75, Geismar, LA",176336749,28719632.2
"Denka Performance Elastomer, LLC",2014-02-25T00:00:00Z,"586 Highway 44, LaPlace, LA",58838e3,10943435.36
BASF Corporation,2012-10-23T00:00:00Z,"8404 River Road, Geismar, LA",31940379,4675029.06
"Syngenta Crop Protection, LLC",2013-10-22T00:00:00Z,"3905 Highway 75, St. Gabriel, LA",5527290,711362.22
"WPT, LLC",2012-12-11T00:00:00Z,"900 Highway 108, Sulphur, LA",2171245,411016.87
"Cottonport Monofill, LLC",2013-12-10T00:00:00Z,"960 FP Bordelon Road, Cottonport, LA",192749,16884.81
"Cottonport Monofill, LLC",2014-10-28T00:00:00Z,"960 FP Bordelon Road, Cottonport, LA",29785,2609.17
Reynolds Metals Company,2012-10-23T00:00:00Z,"3943 Granger Road, Lake Charles, LA",30124728,5576657.91
"Halliburton Energy Services, Inc.",2012-10-23T00:00:00Z,"135 Wakefield, Cameron, LA",1920829,39028.52
"Halliburton Energy Services, Inc.",2012-10-23T00:00:00Z,"182 North Doucet Road, Port Fourchon, LA",3347857,617679.62
"Halliburton Energy Services, Inc.",2013-10-22T00:00:00Z,"182 North Doucet Road, Port Fourchon, LA",14300576,617679.62
"Halliburton Energy Services, Inc.",2012-10-23T00:00:00Z,"250 Davis Rd., Cameron, LA",2529315,620387.83
"Halliburton Energy Services, Inc.",2013-10-22T00:00:00Z,"250 Davis Rd., Cameron, LA",1387812,343902.79
Dolese Bros. Co. Inc.,2013-08-27T00:00:00Z,"1897 Highway 63, Pine Grove, LA",3288452,500120.02
"Bayou Companies, LLC",2013-10-22T00:00:00Z,"5200 Curtis Lane, New Iberia, LA",28256177,3247676.54
"Turner Industries Group, LLC",2015-10-27T00:00:00Z,"1700 South Westport Drive, Port Allen, LA",9722809,1296050.44
"Turner Industries Group, LLC",2015-04-28T00:00:00Z,"1700 South Westport Drive, Port Allen, LA",278607,35327.37
Targa Resources LLC,2013-10-22T00:00:00Z,"1565 Tidewater Rd., Venice, LA",428e5,4050549
Sun Drilling Products Corp.,2013-10-22T00:00:00Z,"503 Main St, Belle Chasse, LA",4123203,404486.21
Phillips 66 Company,2012-10-23T00:00:00Z,"2200 Old Spanish Trail Road, Westlake, LA",9516462,1774820.16
"Arkema, Inc.",2014-12-09T00:00:00Z,"Highway 18, River Rd, Taft, LA",9190535,1878440.27
"Valero Refining-New Orleans, LLC",2013-10-22T00:00:00Z,"14902 River Road, Norco, LA",109843734,19332497.18
"Acadian Millwork & Supply Co., Inc",2014-08-26T00:00:00Z,"13233 Ronald Reagan Hwy, Covington, LA",3689990,943899.44
J & M Industries Inc.,2012-10-23T00:00:00Z,"300 Ponchatoula Parkway, Ponchatoula, LA",612756,88043.03
"Westlake Styrene, LP",2012-12-11T00:00:00Z,"900 Hwy 108, Sulphur, LA",1590152,301015.77
"Steel Fab Leasing, LLC",2013-10-22T00:00:00Z,"2101 Booth Street, Monroe, LA",1009987,135589.1
"CF Industries, Inc.",2013-02-26T00:00:00Z,"Highway 3089, Donaldsonville, LA",5642577,824380.5
"Boise Packaging & Newsprint, LLC",2012-10-23T00:00:00Z,"4200 Hwy 190 West, DeRidder, LA",1930504,337849.09
"Boardwalk Louisiana Midstream, LLC",2014-10-28T00:00:00Z,"2210 W. Burton Street, Sulphur, LA",59493576,12120042.68
Formosa Plastics Corporation,2012-02-28T00:00:00Z,"Gulf States Road, Baton Rouge, LA",114560157,18578441.69
Formosa Plastics Corporation,2015-10-27T00:00:00Z,"Gulf States Road, Baton Rouge, LA",114560157,18578441.69
Angus Chemical Company,2012-02-28T00:00:00Z,"LA Hwy. 2, Sterlington, LA",6374671,891090.82
Angus Chemical Company,2013-08-27T00:00:00Z,"LA Hwy. 2, Sterlington, LA",1761409,251000.78
"Kisatchie Treating, LLC",2012-10-23T00:00:00Z,"10020 Highway 483, Converse, LA",9430281,1263657.65
Honeywell International,2012-10-23T00:00:00Z,"5525 Hwy 3115, Geismar, LA",13118017,1916542.28
"National Mail-It, Inc.",2013-10-22T00:00:00Z,"9151 Youree Drive, Shreveport, LA",3102260,521093.87
"Unique Manufacturing & Services, LLC",2012-10-23T00:00:00Z,"3006 Northside Road, New Iberia, LA",866841,99600.15
"Unique Manufacturing & Services, LLC",2013-10-22T00:00:00Z,"3006 Northside Road, New Iberia, LA",307090,99600.15
BASF Corporation,2013-10-22T00:00:00Z,"8404 River Road, Geismar, LA",149126049,24740776.09
Criterion Catalyst & Technologies L.P.,2015-10-27T00:00:00Z,"1471 Safe Energy Drive, Port Allen, LA",384313605,51229003.55
Criterion Catalyst & Technologies L.P.,2017-02-21T00:00:00Z,"1471 Safe Energy Drive, Port Allen, LA",21722480,2971635.26
"Calumet Shreveport Lubricants & Waxes, LLC",2012-10-23T00:00:00Z,"3333 Midway Street, Shreveport, LA",44367698,9712089.09
"Calumet Shreveport Lubricants & Waxes, LLC",2013-10-22T00:00:00Z,"3333 Midway Street, Shreveport, LA",322923598,70687975.6
Shell Chemical Company - Ascension,2013-10-22T00:00:00Z,"LA Hwy 44 & 70, Geismar, LA",6130724,895698.78
Cos-Mar Company,2012-04-24T00:00:00Z,"6325 Highway 75 River Road, Carville, LA",21982032,3376440.12
"Boardwalk Louisiana Midstream, LLC",2014-10-28T00:00:00Z,"60825 A Highway 1148 West, Plaquemine, LA",28011047,1585356.46
Folger Coffee Company,2012-04-24T00:00:00Z,"14601 Old Gentilly Road, New Orleans, LA",18597425,4779538.23
Folger Coffee Company,2012-04-24T00:00:00Z,"5500 Chef Menteur Highway, New Orleans, LA",3536560,908895.92
"Dow Hydrocarbon and Resources LLC (DHR, LLC)",2012-10-23T00:00:00Z,"Highway 70 South, Belle Rose, LA",22367334,3540327.41
"Lake Charles LNG Company, LLC",2015-12-08T00:00:00Z,"8100 Big Lake Road, Lake Charles, LA",223357549,78300347.81
"Weatherford U.S., L.P.",2014-12-09T00:00:00Z,"1349 Highway 311, Schrieves, LA, LA",55035e3,8313844.7
"Weatherford U.S., L.P.",2014-10-28T00:00:00Z,"179 Weatherford Drive, Schriever, LA",3211e3,459369.6
Dow Hydrocarbon and Resources LLC,2012-10-23T00:00:00Z,"Highway 966, Napoleonville, LA",7029978,1386746.82
"Arcadia Gas Storage, LLC",2013-10-22T00:00:00Z,"616 Highway 147 S, Arcadia, LA",89937822,3143544.49
Phillips 66 Company,2015-12-08T00:00:00Z,"2800 Old Spanish Trail, Westlake, LA",11106155,1982448.67
Angus Chemical Company,2012-10-23T00:00:00Z,"Louisiana Highway #2, Sterlington, LA",5588373,820235.81
"Dow Hydrocarbons and Resources, LLC",2012-10-23T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",2e6,258363.48
Textron Marine & Land Systems,2012-10-23T00:00:00Z,"252 Stone Road, Slidell, LA",1254284,318337.28
"J&P INvestments of Mnnesota, LLC",2013-10-22T00:00:00Z,"1350 Choctaw Dr., Baton Rouge, LA",2282444,258350.5
"Frederick's Machine & Tool Shop, Inc.",2013-10-22T00:00:00Z,"3903 Second Street ARA, New Iberia, LA",2962009,353842.3
Pearson Medical Technologies LLC dba Pearson Medical Technologies,2014-10-28T00:00:00Z,"2804 N Bolton Ave, Alexandria, LA",93863,15590.64
Dow Chemical Company,2014-08-26T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",3573684,466897.99
Dow Chemical Company,2016-10-28T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",5392094,511610.78
Printer Inc. of Louisiana,2012-10-23T00:00:00Z,"2325 North Hullen, Metairie, LA",8939,1300.62
"Arrowhead Louisiana Pipeline, LLC",2013-10-22T00:00:00Z,"18422 Hwy. 35, Abbeville, LA",15130725,2143959.97
"Placid Refining Company, LLC",2014-10-28T00:00:00Z,"1940 LA Highway 1 North, Port Allen, LA",220205298,32108197.23
Roseburg Forest Products South Limited Partnership,2012-10-23T00:00:00Z,"486 Duraflake Road, Simsboro, LA",1900275,47958.46
Roseburg Forest Products South Limited Partnership,2013-10-22T00:00:00Z,"486 Duraflake Road, Simsboro, LA",7104642,1143597.46
"Plains Gas Solutions, LLC",2012-10-23T00:00:00Z,"3111 Highway 82, Grand Chenier, LA",16303276,4237412.63
Shell Chemical Company - Ascension,2013-10-22T00:00:00Z,"LA Hwy 44 & 70, Geismar, LA",4680749,683857.43
Union Carbide Corporation,2012-10-23T00:00:00Z,"Hwy 18, River Rd, Taft, LA",3317036,545125.33
"CF Industries, Inc.",2013-12-10T00:00:00Z,"Highway 3089, Donaldsonville, LA",5438176,794517.51
"Port Aggregates, Inc.",2012-10-23T00:00:00Z,"1131 Delhomme Avenue, Scott, LA",3037549,386777.5
"Dulac Shipyard, Inc.Northyard",2013-10-22T00:00:00Z,"618 Thompson Road, Houma, LA",489923,69912.01
"Dulac Shipyard, Inc.Northyard",2013-10-22T00:00:00Z,"618 Thompson Road, Houma, LA",175367,25024.87
"Gulf Island, LLC",2012-10-23T00:00:00Z,"583 Thompson Road, Houma, LA",5579421,794509.55
Exxon Mobil Corp dba Exxon Mobil Corp (Chemical),2012-10-23T00:00:00Z,"4999 Scenic Highway, Baton Rouge, LA",49657339,8203392.4
Exxon Mobil Corporation (Plastics),2013-02-26T00:00:00Z,"11675 Scotland Avenue, Baton Rouge, LA",5866220,969099.54
Exxon Mobil Corporation (Polyolefins),2012-10-23T00:00:00Z,"12875 Scenic Highway, Baton Rouge, LA",2511023,414821
"Intralox, LLC",2012-10-23T00:00:00Z,"201-221 Laitram Lane, Harahan, LA",10052919,2052538.53
"EAM Nelson Holding, LLC",2012-10-23T00:00:00Z,"3500 Houston River Road, Westlake, LA",286514,54237.1
"Bollinger Amelia Repair, LLC",2012-10-23T00:00:00Z,"606 Ford Industrial Lane, Amelia, LA",3360923,709651.21
Bollinger Fourchon LLC,2012-10-23T00:00:00Z,"106 Norman Doucet Dr, Golden Meadow, LA",1884739,706257.51
"Bollinger Morgan City, LLC",2012-10-23T00:00:00Z,"806 Bollinger Lane, Amelia, LA",430818,89785.03
"Bollinger Marine Fabricators, LLC",2012-10-23T00:00:00Z,"816 Bollinger Lane, Amelia, LA",1284235,190708.9
Bollinger Quick Repair LLC,2012-10-23T00:00:00Z,"615 Destrehan Avenue, Harvey, LA",537374,77906.67
Bollinger Fourchon LLC,2012-10-23T00:00:00Z,"106 Norman Doucet Dr, Golden Meadow, LA",70245,190337.03
Bollinger Shipyards Lockport LLC,2012-10-23T00:00:00Z,"8365 Hwy. 308 South, Lockport, LA",3521313,666211.05
"Chand, LLC",2012-10-23T00:00:00Z,"157 Hwy 654, Mathews, LA",23355,4309
Bollinger Fourchon LLC,2012-10-23T00:00:00Z,"106 Norman Doucet Dr, Golden Meadow, LA",576400,106345.8
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, Plaquemine, LA",3e6,347755.06
Union Carbide Corporation,2012-10-23T00:00:00Z,"Highway 18, River Road, Taft, LA",25281e3,4467152.7
Procter & Gamble Manufacturing,2012-10-23T00:00:00Z,"3701 Monroe Highway, Pineville, LA",21705187,3585775.21
Southwestern Electric Power Company dba SWEPCO,2016-03-22T00:00:00Z,"510 North Allen, Shreveport, LA",435916998,91664855.65
Sonoco Products Company,2013-10-22T00:00:00Z,"1016 N. Pine Street, DeRidder, LA",56826,9524.04
"PBF Holding Company, LLC",2012-10-23T00:00:00Z,"500 W. St. Bernard Hwy, Chalmette, LA",95820792,15960725.01
"PAK Realty, LLC",2014-10-28T00:00:00Z,"4103 Pardue Road, Pineville, LA",9413500,1591937.61
Shell Chemical Company - Ascension,2012-10-23T00:00:00Z,"LA Hwy 44 & 70, Geismar, LA",21720021,3173295.07
Motiva Enterprises LLC,2013-10-22T00:00:00Z,"Hwy 44 & Hwy 70, Convent, LA",43863779,6750635.59
Motiva Enterprises LLC,2014-10-28T00:00:00Z,"Hwy 44 & Hwy 70, Convent, LA",58885642,9992893.45
"Stuller, Inc./Platinum Business Properties, Ltd.",2012-10-23T00:00:00Z,"302 Rue Louis XIV, Lafayette, LA",3677587,471098.89
"Entergy Louisiana, LLC - Big Cajun",2012-10-23T00:00:00Z,"Hwy 981, New Roads, LA",2630471,213857.29
"Entergy Texas, Inc. - Big Cajun",2012-10-23T00:00:00Z,"Hwy 981, New Roads, LA",1944261,158068.42
"Entergy Louisiana, LLC - Riverbend",2013-10-22T00:00:00Z,"5485 Hwy 61, St. Francisville, LA",6368479,666779.75
"Entergy Louisiana, LLC - Riverbend",2012-10-23T00:00:00Z,"5485 Highway 61, St. Francisville, LA",3947080,413259.28
"Entergy Louisiana, LLC - Willow Glen",2012-10-23T00:00:00Z,"2605 Hwy 75, St. Gabriel, LA",566288,72994.52
"Entergy Louisiana, LLC - Nelson",2012-10-23T00:00:00Z,"3500 Houston River Road, Westlake, LA",1747933,330883.72
"Entergy Texas, Inc. - Nelson",2012-10-23T00:00:00Z,"3500 Houston River Road, Westlake, LA",782001,148032.79
Entergy New Orleans Inc.-Michoud,2012-09-24T00:00:00Z,"3601 Paris Road, New Orleans, LA",3493530,918099.68
"Entergy Louisiana, LLC - Waterford 3",2012-12-11T00:00:00Z,"17265 River Road, Killona, LA",24691080,1482815.63
"Entergy Louisiana, LLC - Waterford 3",2013-04-23T00:00:00Z,"17265 River Road, Killona, LA",2280932,1482815.63
"Entergy Louisiana, LLC - Waterford 3",2015-08-25T00:00:00Z,"17265 River Road, Killona, LA",13123846,2099608.43
"Entergy Louisiana, LLC - Waterford 3",2013-08-27T00:00:00Z,"17265 River Road, Killona, LA",581719150,93495305.54
"Entergy Louisiana, LLC - Waterford 3",2013-10-22T00:00:00Z,"17265 River Road, Killona, LA",11085458,1951040.61
"Entergy Louisiana, LLC - Waterford 3",2015-08-25T00:00:00Z,"17265 River Road, Killona, LA",8446106,4042372.5
"Entergy Louisiana, LLC - Waterford 3",2012-06-26T00:00:00Z,"17265 River Road, Killona, LA",35379261,6008241.18
"Entergy Louisiana, LLC - Waterford 3",2017-02-21T00:00:00Z,"17265 River Road, Killona, LA",35379261,6008241.18
"Entergy Louisiana, LLC - Waterford 3",2014-08-26T00:00:00Z,"17265 River Road, Killona, LA",19612857,858390.39
"Entergy Louisiana, LLC - Waterford 3",2012-10-23T00:00:00Z,"17265 River Road, Killona, LA",4948272,870895.87
"Entergy Louisiana, LLC - Waterford 1& 2",2012-10-23T00:00:00Z,"17705 River Road, Killona, LA",5544275,975792.4
"Entergy Louisiana, LLC - Waterford 1& 2",2012-10-23T00:00:00Z,"17705 River Road, Killona, LA",1246060,219306.56
"Entergy Louisiana, LLC - Sterlington",2012-10-23T00:00:00Z,"101 Boardman St., Sterlington, LA",415218,56635.74
"Entergy Louisiana, LLC - Ninemile Point",2012-10-23T00:00:00Z,"1617 River Road, Westwego, LA",1879415,264111.16
"Entergy Louisiana, LLC - Little Gypsy",2012-10-23T00:00:00Z,"17420 River Road, Montz, LA",564935,99428.56
Bollinger Larose LLC,2012-10-23T00:00:00Z,"1515 Hwy 24, Larose, LA",699661,190166.18
Marathon Petroleum Company LP,2013-10-22T00:00:00Z,"155 Sugarcane Road, Garyville, LA",17130293,3131817.59
Marathon Petroleum Company LP,2013-10-22T00:00:00Z,"155 Sugarcane Road, Garyville, LA",19978081,4092191.63
Marathon Petroleum Company LP,2012-10-23T00:00:00Z,"155 Sugarcane Road, Garyville, LA",11467417,2146300.69
Marathon Petroleum Company LP,2014-10-28T00:00:00Z,"155 Sugarcane Road, Garyville, LA",11820279,2191479.73
"Utz Quality Foods, Inc.",2013-10-22T00:00:00Z,"307 E Airline Hwy, Gramercy, LA",793278,134936.59
"Boise Packaging & Newsprint, LLC",2013-10-22T00:00:00Z,"4200 Hwy 190 West, DeRidder, LA",16059760,2593282.23
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Hwy 1, Plaquemine, LA",18e5,234902.85
"CP Bo-K Holdings, LLC",2012-12-11T00:00:00Z,"110 Main Project Rd., Schriever, LA",402153,56060.13
"Noble Plastics, Inc.",2012-10-23T00:00:00Z,"318 Burleigh Lane, Grand Coteau, LA",676806,62942.96
Dow Chemical Company,2012-10-23T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",1439210,209619.28
"ACM Properties, LLC (for Matherne Instrumentation)",2013-10-22T00:00:00Z,"128 Capital Blvd, Houma, LA",239488,34174.94
"Alliance Compressors, LLC",2012-10-23T00:00:00Z,"100 Industrial Drive, Natchitoches, LA",2766017,420434.58
"Alliance Compressors, LLC",2013-10-22T00:00:00Z,"100 Industrial Drive, Natchitoches, LA",1460108,420434.58
"KMGP Services Company, Inc",2014-08-26T00:00:00Z,"9156 LA Hwy 75, Geismar, LA",326e5,6087306.2
Dow Chemical Company,2012-10-23T00:00:00Z,"21255 LA Highway 1, Plaquemine, LA",1850448,239354.41
"Dis-Tran Steel, LLC",2013-08-27T00:00:00Z,"529 Cenla Drive, Pineville, LA",120042,19842.94
Cabot Corporation,2012-10-23T00:00:00Z,"272 Cabot Corp. Plant Lane, Centerville, LA",9140590,1357377.62
Union Carbide Corporation,2012-10-23T00:00:00Z,"Hwy 18, River Rd, Taft, LA",4047168,821928.27
"Peppers Unlimited of Louisiana, Inc.",2012-10-23T00:00:00Z,"602 W. Bridge Street, St. Martinville, LA",740778,121265.36
Exxon Mobil Corporation (Refinery),2012-10-23T00:00:00Z,"4045 Scenic Highway, Baton Rouge, LA",29879534,4907320.68
"Acadiana Plastics Molding, Inc.",2014-02-25T00:00:00Z,"314 School Board Drive, New Iberia, LA",1613902,186889.85
"Acadiana Plastics Manufacturing, Inc.",2012-10-23T00:00:00Z,"314 School Board Drive, New Iberia, LA",67924,7804.47
"Acadiana Plastics Manufacturing, Inc.",2014-02-25T00:00:00Z,"314 School Board Drive, New Iberia, LA",39071,4524.42
"Premium Products of Louisiana, Inc dba Premium Products of Louisiana, Inc",2013-12-10T00:00:00Z,"2006 Johnston Street, Lafayette, LA",509021,65612.81
"Americas Styrenics, LLC",2013-10-22T00:00:00Z,"9901 Highway 18, St. James, LA",143e4,171726.67
"Americas Styrenics, LLC",2014-10-28T00:00:00Z,"9901 Highway 18, St. James, LA",8889781,1471371.63
"Americas Styrenics, LLC",2014-10-28T00:00:00Z,"9901 Highway 18, St. James, LA",93241638,14668900.42
"Americas Styrenics, LLC",2015-12-08T00:00:00Z,"9901 Highway 18, St. James, LA",18317156,3510865.31
"Denka Performance Elastomer, LLC",2014-02-25T00:00:00Z,"586 Highway 44, LaPlace, LA",6655580,560781.63
Pioneer Americas LLC,2014-10-28T00:00:00Z,"4205 Highway 75, St. Gabriel, LA",188799326,28489818.29
NuStar Logistics LP,2014-10-28T00:00:00Z,"7167 Koch Road, Vacherie, LA",46030882,7811440.68
"Georgia Pacific Consumer Operations, LLC",2012-10-23T00:00:00Z,"1000 West Mt Pleasant Road, Port Hudson, LA",5794543,957258.5
"Entergy Louisiana, LLC - Waterford 1, 2 & 4",2014-08-26T00:00:00Z,"17705 River Road, Killona, LA",29427658,5090965.82
Dow Chemical Company,2012-10-23T00:00:00Z,"21255 LA Highway 1, Plaquemine, LA",125e5,1651174.84
"Parco, Inc. dba Olympian Machine, LLC",2012-10-23T00:00:00Z,"280 Equity Blvd., Houma, LA",1052884,150782.52
"CF Industries, Inc.",2014-10-28T00:00:00Z,"39018 Hwy. 3089, Donaldsonville, LA",945145,145457.82
"Air Products and Chemicals, Inc.",2014-10-28T00:00:00Z,"Airline Hwy 61, Garyville, LA",136680930,24162201.56
Angus Chemical Company,2012-10-23T00:00:00Z,"LA Hwy. 12, Sterlington, LA",8478311,1250630.05
Dow Chemical Company,2014-08-26T00:00:00Z,"21255 LA Hwy 1, Plaquemine, LA",11e6,1268933.35
Union Carbide Corporation,2013-10-22T00:00:00Z,"Hwy 18 River Rd., Taft, LA",4250661,784931.66
"USALCO Port Allen Plant, LLC",2013-10-22T00:00:00Z,"1696 Catalyst Drive, Port Allen, LA",5740348,695730.18
"Glenco of Houma, Inc",2013-10-22T00:00:00Z,"103 W Woodlawn Ranch Rd, Houma, LA",232453,33171.04
"Bayou Wood Pellets, LLC",2014-10-28T00:00:00Z,"1315 Hwy 15, West Monroe, LA",163681,22325.95
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Hwy 1, Plaquemine, LA",21e5,246585.31
"Digital Machining Systems, LLC",2013-10-22T00:00:00Z,"929 Ridge Rd., Duson, LA",1261401,149582.24
"Digital Machining Systems, LLC",2014-10-28T00:00:00Z,"929 Ridge Rd., Duson, LA",84043,10715.48
International Paper Company,2013-10-22T00:00:00Z,"1202 Highway 509 N.E., Mansfield, LA",3434401,637768.27
"Chemours Company FC, LLC",2014-10-28T00:00:00Z,"3460 Highway 44, Darrow, LA",45001970,9941920.76
"LTS Energy, Inc",2012-10-23T00:00:00Z,"1116 Engineers Road, Belle Chase, LA",1833246,181983.45
Dow Chemical Company,2013-10-22T00:00:00Z,"21255 LA Highway 1, South, Plaquemine, LA",21e5,151377.83
"Intralox, LLC",2013-10-22T00:00:00Z,"20157 Intralox Drive, Hammond, LA",18617205,2489340.32
