exemption_id,company_name,address,approval_date,amount
40,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2014-10-28,703534476.42
41,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2012-10-23,1199519.21
42,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2014-10-28,1639068.56
43,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2012-10-23,361434.96
44,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2012-10-23,851483.12
45,M-I SWACO,"301 Wakefield Rd., Cameron, LA",2012-10-23,6220907.74
46,"Westlake Styrene, LP","900 Hwy 108, Sulphur, LA",2013-10-22,7753106.98
47,"ASH Industries, Inc.","1330 West Willow Avenue, Lafayette, LA",2012-10-23,78268.08
48,Elmer Candy Corporation,"401 N. Fifth St., Ponchatoula, LA",2012-10-23,1370609.47
49,"Abita Brewing Company, LLC","21084 Hwy 36, Covington, LA",2013-10-22,1649076.67
50,Phillips 66 Company,"2200 Old Spanish Trail Road, Westlake, LA",2012-10-23,3025494.63
51,Stoltz Enterprises Inc,"429 South Street, Slidell, LA",2012-10-23,113012.5
52,"J & Y Investments, LLC","429 South Street, Slidell, LA",2012-10-23,51202.29
53,"Dresser-Rand Services, LLC","1550 East Oak Street, Jena, LA",2013-10-22,276253.47
54,"Haynes International, Inc.","3786 Second Street, Arcadia, LA",2012-10-23,26001.14
55,"Brookfield District Energy USA, LLC","1661 Gravier Street, New Orleans, LA",2012-09-24,820957.77
56,Union Carbide Corporation,"Hwy 18, River Rd, Taft, LA",2012-10-23,1143364.29
57,Huntsman Petrochemical LLC,"9156 Highway 75, Geismar, LA",2014-12-09,28719632.2
58,"Denka Performance Elastomer, LLC","586 Highway 44, LaPlace, LA",2014-02-25,10943435.36
59,BASF Corporation,"8404 River Road, Geismar, LA",2012-10-23,4675029.06
60,"Syngenta Crop Protection, LLC","3905 Highway 75, St. Gabriel, LA",2013-10-22,711362.22
61,"WPT, LLC","900 Highway 108, Sulphur, LA",2012-12-11,411016.87
62,"Cottonport Monofill, LLC","960 FP Bordelon Road, Cottonport, LA",2013-12-10,16884.81
63,"Cottonport Monofill, LLC","960 FP Bordelon Road, Cottonport, LA",2014-10-28,2609.17
64,Reynolds Metals Company,"3943 Granger Road, Lake Charles, LA",2012-10-23,5576657.91
65,"Halliburton Energy Services, Inc.","135 Wakefield, Cameron, LA",2012-10-23,39028.52
66,"Halliburton Energy Services, Inc.","182 North Doucet Road, Port Fourchon, LA",2012-10-23,617679.62
67,"Halliburton Energy Services, Inc.","182 North Doucet Road, Port Fourchon, LA",2013-10-22,617679.62
68,"Halliburton Energy Services, Inc.","250 Davis Rd., Cameron, LA",2012-10-23,620387.83
69,"Halliburton Energy Services, Inc.","250 Davis Rd., Cameron, LA",2013-10-22,343902.79
70,Dolese Bros. Co. Inc.,"1897 Highway 63, Pine Grove, LA",2013-08-27,500120.02
71,"Bayou Companies, LLC","5200 Curtis Lane, New Iberia, LA",2013-10-22,3247676.54
72,"Turner Industries Group, LLC","1700 South Westport Drive, Port Allen, LA",2015-10-27,1296050.44
73,"Turner Industries Group, LLC","1700 South Westport Drive, Port Allen, LA",2015-04-28,35327.37
74,Targa Resources LLC,"1565 Tidewater Rd., Venice, LA",2013-10-22,4050549
75,Sun Drilling Products Corp.,"503 Main St, Belle Chasse, LA",2013-10-22,404486.21
76,Phillips 66 Company,"2200 Old Spanish Trail Road, Westlake, LA",2012-10-23,1774820.16
77,"Arkema, Inc.","Highway 18, River Rd, Taft, LA",2014-12-09,1878440.27
78,"Valero Refining-New Orleans, LLC","14902 River Road, Norco, LA",2013-10-22,19332497.18
79,"Acadian Millwork & Supply Co., Inc","13233 Ronald Reagan Hwy, Covington, LA",2014-08-26,943899.44
80,J & M Industries Inc.,"300 Ponchatoula Parkway, Ponchatoula, LA",2012-10-23,88043.03
81,"Westlake Styrene, LP","900 Hwy 108, Sulphur, LA",2012-12-11,301015.77
82,"Steel Fab Leasing, LLC","2101 Booth Street, Monroe, LA",2013-10-22,135589.1
83,"CF Industries, Inc.","Highway 3089, Donaldsonville, LA",2013-02-26,824380.5
84,"Boise Packaging & Newsprint, LLC","4200 Hwy 190 West, DeRidder, LA",2012-10-23,337849.09
85,"Boardwalk Louisiana Midstream, LLC","2210 W. Burton Street, Sulphur, LA",2014-10-28,12120042.68
86,Formosa Plastics Corporation,"Gulf States Road, Baton Rouge, LA",2012-02-28,18578441.69
87,Formosa Plastics Corporation,"Gulf States Road, Baton Rouge, LA",2015-10-27,18578441.69
88,Angus Chemical Company,"LA Hwy. 2, Sterlington, LA",2012-02-28,891090.82
89,Angus Chemical Company,"LA Hwy. 2, Sterlington, LA",2013-08-27,251000.78
90,"Kisatchie Treating, LLC","10020 Highway 483, Converse, LA",2012-10-23,1263657.65
91,Honeywell International,"5525 Hwy 3115, Geismar, LA",2012-10-23,1916542.28
92,"National Mail-It, Inc.","9151 Youree Drive, Shreveport, LA",2013-10-22,521093.87
93,"Unique Manufacturing & Services, LLC","3006 Northside Road, New Iberia, LA",2012-10-23,99600.15
94,"Unique Manufacturing & Services, LLC","3006 Northside Road, New Iberia, LA",2013-10-22,99600.15
95,BASF Corporation,"8404 River Road, Geismar, LA",2013-10-22,24740776.09
96,Criterion Catalyst & Technologies L.P.,"1471 Safe Energy Drive, Port Allen, LA",2015-10-27,51229003.55
97,Criterion Catalyst & Technologies L.P.,"1471 Safe Energy Drive, Port Allen, LA",2017-02-21,2971635.26
98,"Calumet Shreveport Lubricants & Waxes, LLC","3333 Midway Street, Shreveport, LA",2012-10-23,9712089.09
99,"Calumet Shreveport Lubricants & Waxes, LLC","3333 Midway Street, Shreveport, LA",2013-10-22,70687975.6
100,Shell Chemical Company - Ascension,"LA Hwy 44 & 70, Geismar, LA",2013-10-22,895698.78
101,Cos-Mar Company,"6325 Highway 75 River Road, Carville, LA",2012-04-24,3376440.12
102,"Boardwalk Louisiana Midstream, LLC","60825 A Highway 1148 West, Plaquemine, LA",2014-10-28,1585356.46
103,Folger Coffee Company,"14601 Old Gentilly Road, New Orleans, LA",2012-04-24,4779538.23
104,Folger Coffee Company,"5500 Chef Menteur Highway, New Orleans, LA",2012-04-24,908895.92
105,"Dow Hydrocarbon and Resources LLC (DHR, LLC)","Highway 70 South, Belle Rose, LA",2012-10-23,3540327.41
106,"Lake Charles LNG Company, LLC","8100 Big Lake Road, Lake Charles, LA",2015-12-08,78300347.81
107,"Weatherford U.S., L.P.","1349 Highway 311, Schrieves, LA, LA",2014-12-09,8313844.7
108,"Weatherford U.S., L.P.","179 Weatherford Drive, Schriever, LA",2014-10-28,459369.6
109,Dow Hydrocarbon and Resources LLC,"Highway 966, Napoleonville, LA",2012-10-23,1386746.82
110,"Arcadia Gas Storage, LLC","616 Highway 147 S, Arcadia, LA",2013-10-22,3143544.49
111,Phillips 66 Company,"2800 Old Spanish Trail, Westlake, LA",2015-12-08,1982448.67
112,Angus Chemical Company,"Louisiana Highway #2, Sterlington, LA",2012-10-23,820235.81
113,"Dow Hydrocarbons and Resources, LLC","21255 LA Highway 1, South, Plaquemine, LA",2012-10-23,258363.48
114,Textron Marine & Land Systems,"252 Stone Road, Slidell, LA",2012-10-23,318337.28
115,"J&P INvestments of Mnnesota, LLC","1350 Choctaw Dr., Baton Rouge, LA",2013-10-22,258350.5
116,"Frederick's Machine & Tool Shop, Inc.","3903 Second Street ARA, New Iberia, LA",2013-10-22,353842.3
117,Pearson Medical Technologies LLC dba Pearson Medical Technologies,"2804 N Bolton Ave, Alexandria, LA",2014-10-28,15590.64
118,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2014-08-26,466897.99
119,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2016-10-28,511610.78
120,Printer Inc. of Louisiana,"2325 North Hullen, Metairie, LA",2012-10-23,1300.62
121,"Arrowhead Louisiana Pipeline, LLC","18422 Hwy. 35, Abbeville, LA",2013-10-22,2143959.97
122,"Placid Refining Company, LLC","1940 LA Highway 1 North, Port Allen, LA",2014-10-28,32108197.23
123,Roseburg Forest Products South Limited Partnership,"486 Duraflake Road, Simsboro, LA",2012-10-23,47958.46
124,Roseburg Forest Products South Limited Partnership,"486 Duraflake Road, Simsboro, LA",2013-10-22,1143597.46
125,"Plains Gas Solutions, LLC","3111 Highway 82, Grand Chenier, LA",2012-10-23,4237412.63
126,Shell Chemical Company - Ascension,"LA Hwy 44 & 70, Geismar, LA",2013-10-22,683857.43
127,Union Carbide Corporation,"Hwy 18, River Rd, Taft, LA",2012-10-23,545125.33
128,"CF Industries, Inc.","Highway 3089, Donaldsonville, LA",2013-12-10,794517.51
129,"Port Aggregates, Inc.","1131 Delhomme Avenue, Scott, LA",2012-10-23,386777.5
130,"Dulac Shipyard, Inc.Northyard","618 Thompson Road, Houma, LA",2013-10-22,69912.01
131,"Dulac Shipyard, Inc.Northyard","618 Thompson Road, Houma, LA",2013-10-22,25024.87
132,"Gulf Island, LLC","583 Thompson Road, Houma, LA",2012-10-23,794509.55
133,Exxon Mobil Corp dba Exxon Mobil Corp (Chemical),"4999 Scenic Highway, Baton Rouge, LA",2012-10-23,8203392.4
134,Exxon Mobil Corporation (Plastics),"11675 Scotland Avenue, Baton Rouge, LA",2013-02-26,969099.54
135,Exxon Mobil Corporation (Polyolefins),"12875 Scenic Highway, Baton Rouge, LA",2012-10-23,414821
136,"Intralox, LLC","201-221 Laitram Lane, Harahan, LA",2012-10-23,2052538.53
137,"Intralox, LLC","20157 Intralox Drive, Hammond, LA",2012-10-23,978.67
138,"EAM Nelson Holding, LLC","3500 Houston River Road, Westlake, LA",2012-10-23,54237.1
139,"Bollinger Amelia Repair, LLC","606 Ford Industrial Lane, Amelia, LA",2012-10-23,709651.21
140,Bollinger Fourchon LLC,"106 Norman Doucet Dr, Golden Meadow, LA",2012-10-23,706257.51
141,"Bollinger Morgan City, LLC","806 Bollinger Lane, Amelia, LA",2012-10-23,89785.03
142,"Bollinger Marine Fabricators, LLC","816 Bollinger Lane, Amelia, LA",2012-10-23,190708.9
143,Bollinger Quick Repair LLC,"615 Destrehan Avenue, Harvey, LA",2012-10-23,77906.67
144,Bollinger Fourchon LLC,"106 Norman Doucet Dr, Golden Meadow, LA",2012-10-23,190337.03
145,Bollinger Shipyards Lockport LLC,"8365 Hwy. 308 South, Lockport, LA",2012-10-23,666211.05
146,"Chand, LLC","157 Hwy 654, Mathews, LA",2012-10-23,4309
147,Bollinger Fourchon LLC,"106 Norman Doucet Dr, Golden Meadow, LA",2012-10-23,106345.8
148,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2013-10-22,347755.06
149,Union Carbide Corporation,"Highway 18, River Road, Taft, LA",2012-10-23,4467152.7
150,Procter & Gamble Manufacturing,"3701 Monroe Highway, Pineville, LA",2012-10-23,3585775.21
151,Southwestern Electric Power Company dba SWEPCO,"510 North Allen, Shreveport, LA",2016-03-22,91664855.65
152,Sonoco Products Company,"1016 N. Pine Street, DeRidder, LA",2013-10-22,9524.04
153,"PBF Holding Company, LLC","500 W. St. Bernard Hwy, Chalmette, LA",2012-10-23,15960725.01
154,"PAK Realty, LLC","4103 Pardue Road, Pineville, LA",2014-10-28,1591937.61
155,Shell Chemical Company - Ascension,"LA Hwy 44 & 70, Geismar, LA",2012-10-23,3173295.07
156,Motiva Enterprises LLC,"Hwy 44 & Hwy 70, Convent, LA",2013-10-22,6750635.59
157,Motiva Enterprises LLC,"Hwy 44 & Hwy 70, Convent, LA",2014-10-28,9992893.45
158,"Stuller, Inc./Platinum Business Properties, Ltd.","302 Rue Louis XIV, Lafayette, LA",2012-10-23,471098.89
159,"Entergy Louisiana, LLC - Big Cajun","Hwy 981, New Roads, LA",2012-10-23,213857.29
160,"Entergy Texas, Inc. - Big Cajun","Hwy 981, New Roads, LA",2012-10-23,158068.42
161,"Entergy Louisiana, LLC - Riverbend","5485 Hwy 61, St. Francisville, LA",2013-10-22,666779.75
162,"Entergy Louisiana, LLC - Riverbend","5485 Highway 61, St. Francisville, LA",2012-10-23,413259.28
163,"Entergy Louisiana, LLC - Willow Glen","2605 Hwy 75, St. Gabriel, LA",2012-10-23,72994.52
164,"Entergy Louisiana, LLC - Nelson","3500 Houston River Road, Westlake, LA",2012-10-23,330883.72
165,"Entergy Texas, Inc. - Nelson","3500 Houston River Road, Westlake, LA",2012-10-23,148032.79
166,Entergy New Orleans Inc.-Michoud,"3601 Paris Road, New Orleans, LA",2012-09-24,918099.68
167,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2012-12-11,1482815.63
168,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2013-04-23,1482815.63
169,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2015-08-25,2099608.43
170,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2013-08-27,93495305.54
171,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2013-10-22,1951040.61
172,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2015-08-25,4042372.5
173,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2012-06-26,6008241.18
174,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2017-02-21,6008241.18
175,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2014-08-26,858390.39
176,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2012-10-23,870895.87
177,"Entergy Louisiana, LLC - Waterford 1& 2","17705 River Road, Killona, LA",2012-10-23,975792.4
178,"Entergy Louisiana, LLC - Waterford 1& 2","17705 River Road, Killona, LA",2012-10-23,219306.56
179,"Entergy Louisiana, LLC - Sterlington","101 Boardman St., Sterlington, LA",2012-10-23,56635.74
180,"Entergy Louisiana, LLC - Ninemile Point","1617 River Road, Westwego, LA",2012-10-23,264111.16
181,"Entergy Louisiana, LLC - Little Gypsy","17420 River Road, Montz, LA",2012-10-23,99428.56
182,Bollinger Larose LLC,"1515 Hwy 24, Larose, LA",2012-10-23,190166.18
183,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2013-10-22,3131817.59
184,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2013-10-22,4092191.63
185,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2012-10-23,2146300.69
186,Marathon Petroleum Company LP,"155 Sugarcane Road, Garyville, LA",2014-10-28,2191479.73
187,"Utz Quality Foods, Inc.","307 E Airline Hwy, Gramercy, LA",2013-10-22,134936.59
188,"Boise Packaging & Newsprint, LLC","4200 Hwy 190 West, DeRidder, LA",2013-10-22,2593282.23
189,Dow Chemical Company,"21255 LA Hwy 1, Plaquemine, LA",2013-10-22,234902.85
190,"CP Bo-K Holdings, LLC","110 Main Project Rd., Schriever, LA",2012-12-11,56060.13
191,"Noble Plastics, Inc.","318 Burleigh Lane, Grand Coteau, LA",2012-10-23,62942.96
192,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2012-10-23,209619.28
193,"ACM Properties, LLC (for Matherne Instrumentation)","128 Capital Blvd, Houma, LA",2013-10-22,34174.94
194,"Alliance Compressors, LLC","100 Industrial Drive, Natchitoches, LA",2012-10-23,420434.58
195,"Alliance Compressors, LLC","100 Industrial Drive, Natchitoches, LA",2013-10-22,420434.58
196,"KMGP Services Company, Inc","9156 LA Hwy 75, Geismar, LA",2014-08-26,6087306.2
197,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2012-10-23,239354.41
198,"Dis-Tran Steel, LLC","529 Cenla Drive, Pineville, LA",2013-08-27,19842.94
199,Cabot Corporation,"272 Cabot Corp. Plant Lane, Centerville, LA",2012-10-23,1357377.62
200,Union Carbide Corporation,"Hwy 18, River Rd, Taft, LA",2012-10-23,821928.27
201,"Peppers Unlimited of Louisiana, Inc.","602 W. Bridge Street, St. Martinville, LA",2012-10-23,121265.36
202,Exxon Mobil Corporation (Refinery),"4045 Scenic Highway, Baton Rouge, LA",2012-10-23,4907320.68
203,"Acadiana Plastics Molding, Inc.","314 School Board Drive, New Iberia, LA",2014-02-25,186889.85
204,"Acadiana Plastics Manufacturing, Inc.","314 School Board Drive, New Iberia, LA",2012-10-23,7804.47
205,"Acadiana Plastics Manufacturing, Inc.","314 School Board Drive, New Iberia, LA",2014-02-25,4524.42
206,"Premium Products of Louisiana, Inc dba Premium Products of Louisiana, Inc","2006 Johnston Street, Lafayette, LA",2013-12-10,65612.81
207,"Americas Styrenics, LLC","9901 Highway 18, St. James, LA",2013-10-22,171726.67
208,"Americas Styrenics, LLC","9901 Highway 18, St. James, LA",2014-10-28,1471371.63
209,"Americas Styrenics, LLC","9901 Highway 18, St. James, LA",2014-10-28,14668900.42
210,"Americas Styrenics, LLC","9901 Highway 18, St. James, LA",2015-12-08,3510865.31
211,"Denka Performance Elastomer, LLC","586 Highway 44, LaPlace, LA",2014-02-25,560781.63
212,Pioneer Americas LLC,"4205 Highway 75, St. Gabriel, LA",2014-10-28,28489818.29
213,NuStar Logistics LP,"7167 Koch Road, Vacherie, LA",2014-10-28,7811440.68
214,"Georgia Pacific Consumer Operations, LLC","1000 West Mt Pleasant Road, Port Hudson, LA",2012-10-23,957258.5
215,"Entergy Louisiana, LLC - Waterford 1, 2 & 4","17705 River Road, Killona, LA",2014-08-26,5090965.82
216,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2012-10-23,1651174.84
217,"Parco, Inc. dba Olympian Machine, LLC","280 Equity Blvd., Houma, LA",2012-10-23,150782.52
218,"CF Industries, Inc.","39018 Hwy. 3089, Donaldsonville, LA",2014-10-28,145457.82
219,"Air Products and Chemicals, Inc.","Airline Hwy 61, Garyville, LA",2014-10-28,24162201.56
220,Angus Chemical Company,"LA Hwy. 12, Sterlington, LA",2012-10-23,1250630.05
221,Dow Chemical Company,"21255 LA Hwy 1, Plaquemine, LA",2014-08-26,1268933.35
222,Union Carbide Corporation,"Hwy 18 River Rd., Taft, LA",2013-10-22,784931.66
223,"USALCO Port Allen Plant, LLC","1696 Catalyst Drive, Port Allen, LA",2013-10-22,695730.18
224,"Glenco of Houma, Inc","103 W Woodlawn Ranch Rd, Houma, LA",2013-10-22,33171.04
225,"Bayou Wood Pellets, LLC","1315 Hwy 15, West Monroe, LA",2014-10-28,22325.95
226,"Custom Engine Works, LLC","301 Corinne Street, New Iberia, LA",2014-10-28,79160.88
227,Dow Chemical Company,"21255 LA Hwy 1, Plaquemine, LA",2013-10-22,246585.31
228,"Digital Machining Systems, LLC","929 Ridge Rd., Duson, LA",2013-10-22,149582.24
229,"Digital Machining Systems, LLC","929 Ridge Rd., Duson, LA",2014-10-28,10715.48
230,International Paper Company,"1202 Highway 509 N.E., Mansfield, LA",2013-10-22,637768.27
231,"Chemours Company FC, LLC","3460 Highway 44, Darrow, LA",2014-10-28,9941920.76
232,"LTS Energy, Inc","1116 Engineers Road, Belle Chase, LA",2012-10-23,181983.45
233,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2013-10-22,151377.83
234,"Intralox, LLC","20157 Intralox Drive, Hammond, LA",2013-10-22,2489340.32
235,Union Carbide Corporation,"Highway 18, River Rd, Taft, LA",2014-08-26,1039495.76
236,Union Carbide Corporation,"Highway 18, River Rd, Taft, LA",2014-08-26,985968.72
237,"Halliburton Energy Services, LLC","3811 3rd Street, Bldg. #12, New Iberia, LA",2013-10-22,172102.31
238,"Kleinpeter Farms Dairy, LLC","14444 Airline Highway, Baton Rouge, LA",2014-02-25,713690.27
239,CMC Steel Fabricators dba CMC Capitol Steel,"14735 South Choctaw Dr., Baton Rouge, LA",2012-10-23,91727.47
240,"CF Industries, Inc.","39018 Hwy. 3089, Donaldsonville, LA",2014-10-28,1070885.6
241,"CF Industries, Inc.","39018 Hwy. 3089, Donaldsonville, LA",2014-10-28,906432.83
242,"Performance Energy Services, LLC","250 N. American Court, Houma, LA",2013-12-10,306966.24
243,"Performance Energy Services, LLC","250 N. American Court, Houma, LA",2014-10-28,306966.24
244,"Louisiana Elastomer, LLC","2001 Biglane Rd, Vidalia, LA",2013-10-22,443505.27
245,"Louisiana Elastomer, LLC","2001 Biglane Rd, Vidalia, LA",2014-10-28,443505.27
246,Union Carbide Corporation,"Highway 18, River Rd, Taft, LA",2013-10-22,508890.61
247,Southern Ionics Inc,"Gulf States Road, Baton Rouge, LA",2015-10-27,2313868.75
248,Westlake Chemical OpCo LP,"900 Hwy 108, Sulphur, LA",2013-10-22,121351.82
249,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2013-10-22,497774.53
250,Angus Chemical Company,"LA Hwy 2, Sterlington, LA",2013-10-22,1196536.95
251,Angus Chemical Company,"LA Hwy 2, Sterlington, LA",2012-02-28,1270078.62
252,"Westlake Vinyls Company, LP","36045 Hwy 30, Geismar, LA",2014-10-28,1166609.98
253,"Westlake Vinyls Company, LP","36045 Hwy 30, Geismar, LA",2017-02-21,209223.18
254,Toshiba Machine Acceptance Corp.,"73526 Bollfield Dr., Covington, LA",2012-12-11,109509.6
255,Phillips 66 Company,"15551 Hwy 23, Belle Chasse, LA",2014-12-09,11968969.17
256,"Bollinger Amelia Repair, LLC","606 Ford Industrial Lane, Amelia, LA",2014-08-26,3176082.95
257,"Prager, Inc.","181 Riverbend Blvd, St Rose, LA",2013-10-22,1553967.96
258,Union Carbide Corporation,"Hwy 18, River Rd, Taft, LA",2012-10-23,2476072.89
259,"Mid South Extrusion, Inc.","2015 Jackson Street, Monroe, LA",2013-10-22,221545.52
260,Marathon Petroleum Company LP,"Hwy 61 @ Marathon Ave, Garyville, LA",2012-10-23,954594.78
261,Marathon Petroleum Company LP,"Hwy 61 @ Marathon Ave, Garyville, LA",2013-10-22,720178.33
262,Marathon Petroleum Company LP,"Hwy 61 @ Marathon Ave, Garyville, LA",2014-10-28,51321.68
263,"Cameron LNG, LLC","301 North Main St., Hackberry, LA",2014-12-09,215908006.36
264,"Cameron LNG, LLC","801 North Main St., Hackberry, LA",2013-10-22,215908006.36
265,Martco L.L.C,"192 Pawnee Road, Oakdale, LA",2012-10-23,60570919.66
266,Martco L.L.C,"192 Pawnee Road, Oakdale, LA",2013-10-22,1950428.52
267,"Kim Kool, Inc.","2619 Lena Street, Sulphur, LA",2012-10-23,32192.74
268,"Kim Kool, Inc.","2619 Lena Street, Sulphur, LA",2013-10-22,393580.14
269,Oil States Skagit-Smatco LLC,"1180 Mulberry Rd, Houma, LA",2014-10-28,334086.53
270,"Valero Refining-New Orleans, LLC","15272 River Road, New Sarpy, LA",2012-10-23,1617044.42
271,"Valero Refining-New Orleans, LLC","15272 River Road, Norco, LA",2013-10-22,73017368.16
272,"UTLX Manufacturing, LLC","6325 Hwy 1 North, Alexandria, LA",2013-06-25,275462.37
273,"Gulf Island Fabrication, Inc.","567 Thompson Road, Houma, LA",2013-10-22,313281.3
274,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2015-10-27,368957.59
275,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2013-10-22,355358.4
276,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2015-10-27,1339261.19
277,"O'Leary Bros. Signs & Awning, Inc.","902 N.W. Main Hwy. 71, Bunkie, LA",2012-10-23,9900.42
278,Union Carbide Corporation,"Hwy. 18 River Road, Taft, LA",2013-10-22,304719.54
279,"Parish Concrete, LLC","28095 Hwy 22, Pontchatoula, LA",2012-10-23,228282.17
280,"Samson Rope Technologies, Inc.","200 Southpark Road, Lafayette, LA",2013-10-22,1109288.52
281,Phillips 66 Company,"2200 Old Spanish Trail Road, Westlake, LA",2012-10-23,267723.96
282,Phillips 66 Company,"2200 Old Spanish Trail Road, Westlake, LA",2013-10-22,344104.81
283,Honeywell International,"5525 Highway 3115, Carville, LA",2013-10-22,2013046.94
