exemption_,company_na,address,approval_d,amount,join_permi,join_appli,join_lon,join_lat,distance
33,Honeywell International,"5525 Hwy 3115, Geismar, LA",2012/10/23,730174.33999999997,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,4037.440286672992443
35,Phillips 66 Company,"2200 Old Spanish Trail, Westlake, LA",2012/10/23,299105.71999999997,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,3624.418269907092508
36,Eagle US 2 LLC,"1300 PPG Drive, Westlake, LA",2012/10/23,17032096.37000000104,2053,Axiall Corporation,-93.288647220000001,30.232213890000001,977.284054528059187
45,M-I SWACO,"301 Wakefield Rd., Cameron, LA",2012/10/23,6220907.74000000022,707,"Port Cameron, LLC",-93.339055560000006,29.810508330000001,1676.817739499547997
47,"ASH Industries, Inc.","1330 West Willow Avenue, Lafayette, LA",2012/10/23,78268.08000000000,2093,Bayou Backer Erosion Control,-92.040611110000000,30.251666669999999,2668.261706096207945
48,Elmer Candy Corporation,"401 N. Fifth St., Ponchatoula, LA",2012/10/23,1370609.46999999997,2060,Hydrik Wetlands Consultants,-90.455432999999999,30.445111000000001,4657.712352935050149
50,Phillips 66 Company,"2200 Old Spanish Trail Road, Westlake, LA",2012/10/23,3025494.62999999989,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,3624.418269907092508
51,Stoltz Enterprises Inc,"429 South Street, Slidell, LA",2012/10/23,113012.50000000000,1301,St. Tammany Parish Government,-89.825380559999999,30.292094440000000,4086.809751908573162
52,"J & Y Investments, LLC","429 South Street, Slidell, LA",2012/10/23,51202.29000000000,1301,St. Tammany Parish Government,-89.825380559999999,30.292094440000000,4086.809751908573162
56,Union Carbide Corporation,"Hwy 18, River Rd, Taft, LA",2012/10/23,1143364.29000000004,1455,Dow Chemical Company,-90.443333330000002,29.992500000000000,2540.864287046155823
57,Huntsman Petrochemical LLC,"9156 Highway 75, Geismar, LA",2014/12/09,28719632.19999999925,2244,"Delta Terminal Services, LLC",-91.018966669999998,30.197041670000001,489.531297163061140
59,BASF Corporation,"8404 River Road, Geismar, LA",2012/10/23,4675029.05999999959,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
64,Reynolds Metals Company,"3943 Granger Road, Lake Charles, LA",2012/10/23,5576657.91000000015,1467,Lake Charles LNG Company,-93.289000000000001,30.120999999999999,1578.476988472126095
65,"Halliburton Energy Services, Inc.","135 Wakefield, Cameron, LA",2012/10/23,39028.52000000000,707,"Port Cameron, LLC",-93.339055560000006,29.810508330000001,2004.473910465279232
68,"Halliburton Energy Services, Inc.","250 Davis Rd., Cameron, LA",2012/10/23,620387.82999999996,1130,"Venture Global Calcasieu Pass, LLC",-93.338055560000001,29.775833330000001,1303.611233040423031
69,"Halliburton Energy Services, Inc.","250 Davis Rd., Cameron, LA",2013/10/22,343902.78999999998,1130,"Venture Global Calcasieu Pass, LLC",-93.338055560000001,29.775833330000001,1303.611233040423031
71,"Bayou Companies, LLC","5200 Curtis Lane, New Iberia, LA",2013/10/22,3247676.54000000004,907,Port of Iberia,-91.851666670000000,29.947777779999999,2792.175517849727839
72,"Turner Industries Group, LLC","1700 South Westport Drive, Port Allen, LA",2015/10/27,1296050.43999999994,2131,Air Liquide,-91.222769439999993,30.440755559999999,687.549933167534050
73,"Turner Industries Group, LLC","1700 South Westport Drive, Port Allen, LA",2015/04/28,35327.37000000000,2131,Air Liquide,-91.222769439999993,30.440755559999999,687.549933167534050
74,Targa Resources LLC,"1565 Tidewater Rd., Venice, LA",2013/10/22,4050549.00000000000,950,Hilcorp Energy Company,-89.389925000000005,29.231308330000001,2697.006604443493416
75,Sun Drilling Products Corp.,"503 Main St, Belle Chasse, LA",2013/10/22,404486.21000000002,2068,CCI Port Nickel LLC,-89.971374999999995,29.859130560000001,3723.815316546224039
76,Phillips 66 Company,"2200 Old Spanish Trail Road, Westlake, LA",2012/10/23,1774820.15999999992,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,3624.418269907092508
77,"Arkema, Inc.","Highway 18, River Rd, Taft, LA",2014/12/09,1878440.27000000002,1621,"JOHN W. STONE OIL DISTRIBUTOR, LLC",-90.729838889999996,30.015786110000001,2808.900238334797450
78,"Valero Refining-New Orleans, LLC","14902 River Road, Norco, LA",2013/10/22,19332497.17999999970,643,"Valero Refining - New Orleans, LLC",-90.399491670000003,29.987061109999999,2989.429042843538355
85,"Boardwalk Louisiana Midstream, LLC","2210 W. Burton Street, Sulphur, LA",2014/10/28,12120042.67999999970,919,Boardwalk Louisiana Midstream,-93.412440000000004,30.240910000000000,386.532412112294708
86,Formosa Plastics Corporation,"Gulf States Road, Baton Rouge, LA",2012/02/28,18578441.69000000134,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,3160.550494612301918
87,Formosa Plastics Corporation,"Gulf States Road, Baton Rouge, LA",2015/10/27,18578441.69000000134,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,3160.550494612301918
91,Honeywell International,"5525 Hwy 3115, Geismar, LA",2012/10/23,1916542.28000000003,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,4037.440286672992443
95,BASF Corporation,"8404 River Road, Geismar, LA",2013/10/22,24740776.08999999985,1498,IMTT Geismar,-91.013888890000004,30.186666670000001,706.889183565247663
100,Shell Chemical Company - Ascension,"LA Hwy 44 & 70, Geismar, LA",2013/10/22,895698.78000000003,2309,Methanex USA,-91.025802780000006,30.203680830000000,126.395329750997405
101,Cos-Mar Company,"6325 Highway 75 River Road, Carville, LA",2012/04/24,3376440.12000000011,1419,"Total Petrochemicals and Refining USA, Inc.",-91.070277779999998,30.216474999999999,1110.843685964975975
102,"Boardwalk Louisiana Midstream, LLC","60825 A Highway 1148 West, Plaquemine, LA",2014/10/28,1585356.45999999996,889,"Boardwalk Louisiana Midstream, LLC",-91.304700999999994,30.313220000000001,3615.621485280697925
104,Folger Coffee Company,"5500 Chef Menteur Highway, New Orleans, LA",2012/04/24,908895.92000000004,1420,Entergy New Orleans,-90.027119440000007,30.003533330000000,2149.108524274770389
105,"Dow Hydrocarbon and Resources LLC (DHR, LLC)","Highway 70 South, Belle Rose, LA",2012/10/23,3540327.41000000015,1051,ENLINK MIDSTREAM LLC,-91.135719440000003,30.010883329999999,1986.552296393764209
106,"Lake Charles LNG Company, LLC","8100 Big Lake Road, Lake Charles, LA",2015/12/08,78300347.81000000238,1483,Trunkline Engineering Company,-93.282561110000003,30.119750000000000,3519.991206328949829
107,"Weatherford U.S., L.P.","1349 Highway 311, Schrieves, LA, LA",2014/12/09,8313844.70000000019,757,Entergy Lousiana Inc.,-90.805000000000007,29.688333329999999,3519.186635064521852
108,"Weatherford U.S., L.P.","179 Weatherford Drive, Schriever, LA",2014/10/28,459369.59999999998,757,Entergy Lousiana Inc.,-90.805000000000007,29.688333329999999,2485.099350927137948
111,Phillips 66 Company,"2800 Old Spanish Trail, Westlake, LA",2015/12/08,1982448.66999999993,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,2862.847643705493738
113,"Dow Hydrocarbons and Resources, LLC","21255 LA Highway 1, South, Plaquemine, LA",2012/10/23,258363.48000000001,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
114,Textron Marine & Land Systems,"252 Stone Road, Slidell, LA",2012/10/23,318337.28000000003,1620,Textron Marine & Land Systems,-89.780169999999998,30.300280000000001,546.014191946589563
118,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2014/08/26,466897.98999999999,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
119,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2016/10/28,511610.78000000003,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
122,"Placid Refining Company, LLC","1940 LA Highway 1 North, Port Allen, LA",2014/10/28,32108197.23000000045,258,PLACID REFINING COMPANY,-91.199900000000000,30.474699999999999,3595.993444266655388
126,Shell Chemical Company - Ascension,"LA Hwy 44 & 70, Geismar, LA",2013/10/22,683857.43000000005,2309,Methanex USA,-91.025802780000006,30.203680830000000,126.395329750997405
127,Union Carbide Corporation,"Hwy 18, River Rd, Taft, LA",2012/10/23,545125.32999999996,1455,Dow Chemical Company,-90.443333330000002,29.992500000000000,2540.864287046155823
129,"Port Aggregates, Inc.","1131 Delhomme Avenue, Scott, LA",2012/10/23,386777.50000000000,456,Lafayette Consolidated Government,-92.112825000000001,30.232402780000001,1787.158175489212681
130,"Dulac Shipyard, Inc.Northyard","618 Thompson Road, Houma, LA",2013/10/22,69912.00999999999,1209,Terrebonne Port Commission,-90.706669439999999,29.555255559999999,5167.928571698359519
131,"Dulac Shipyard, Inc.Northyard","618 Thompson Road, Houma, LA",2013/10/22,25024.87000000000,1209,Terrebonne Port Commission,-90.706669439999999,29.555255559999999,5167.928571698359519
132,"Gulf Island, LLC","583 Thompson Road, Houma, LA",2012/10/23,794509.55000000005,1980,Terrebonne Port Commission,-90.690888889999997,29.556666669999998,5194.361169056369363
136,"Intralox, LLC","201-221 Laitram Lane, Harahan, LA",2012/10/23,2052538.53000000003,155,"Jefferson Parish Water Department, R. Douglas Vincent",-90.162813889999995,29.953316670000000,4756.339181347678277
138,"EAM Nelson Holding, LLC","3500 Houston River Road, Westlake, LA",2012/10/23,54237.10000000000,280,Entergy Louisiana LLC,-93.289599999999993,30.267378000000001,3206.861136336558502
139,"Bollinger Amelia Repair, LLC","606 Ford Industrial Lane, Amelia, LA",2012/10/23,709651.20999999996,2472,"Bollinger Amelia Repair, LLC",-91.115920000000003,29.640940000000001,1232.575242298845978
140,Bollinger Fourchon LLC,"106 Norman Doucet Dr, Golden Meadow, LA",2012/10/23,706257.51000000001,812,Bollinger Fourchon,-90.216655560000007,29.128205560000001,659.961861044180978
141,"Bollinger Morgan City, LLC","806 Bollinger Lane, Amelia, LA",2012/10/23,89785.03000000000,282,"Bollinger Morgan City, L.L.C.",-91.106783329999999,29.646338889999999,1805.224086102721685
142,"Bollinger Marine Fabricators, LLC","816 Bollinger Lane, Amelia, LA",2012/10/23,190708.89999999999,282,"Bollinger Morgan City, L.L.C.",-91.106783329999999,29.646338889999999,1701.051797291227331
143,Bollinger Quick Repair LLC,"615 Destrehan Avenue, Harvey, LA",2012/10/23,77906.67000000000,1168,"John W. Stone Oil Distributor, L.L.C. c/o EDG, Inc.",-90.087183999999993,29.910840000000000,4023.718637425661655
144,Bollinger Fourchon LLC,"106 Norman Doucet Dr, Golden Meadow, LA",2012/10/23,190337.03000000000,812,Bollinger Fourchon,-90.216655560000007,29.128205560000001,659.961861044180978
145,Bollinger Shipyards Lockport LLC,"8365 Hwy. 308 South, Lockport, LA",2012/10/23,666211.05000000005,829,"Bollinger Shipyards Lockport, LLC",-90.492000000000004,29.613980560000002,203.152333306556159
147,Bollinger Fourchon LLC,"106 Norman Doucet Dr, Golden Meadow, LA",2012/10/23,106345.80000000000,812,Bollinger Fourchon,-90.216655560000007,29.128205560000001,659.961861044180978
148,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2013/10/22,347755.06000000000,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
149,Union Carbide Corporation,"Highway 18, River Road, Taft, LA",2012/10/23,4467152.70000000019,1455,Dow Chemical Company,-90.443333330000002,29.992500000000000,2540.864287046155823
153,"PBF Holding Company, LLC","500 W. St. Bernard Hwy, Chalmette, LA",2012/10/23,15960725.00999999978,805,St. Bernard Parish Director of Public Works,-89.959444439999999,29.928333330000001,4953.254903050210487
155,Shell Chemical Company - Ascension,"LA Hwy 44 & 70, Geismar, LA",2012/10/23,3173295.06999999983,2309,Methanex USA,-91.025802780000006,30.203680830000000,126.395329750997405
156,Motiva Enterprises LLC,"Hwy 44 & Hwy 70, Convent, LA",2013/10/22,6750635.58999999985,821,THE MOSAIC COMPANY,-90.835744000000005,30.041242000000000,3999.154302145701877
157,Motiva Enterprises LLC,"Hwy 44 & Hwy 70, Convent, LA",2014/10/28,9992893.44999999925,821,THE MOSAIC COMPANY,-90.835744000000005,30.041242000000000,3999.154302145701877
164,"Entergy Louisiana, LLC - Nelson","3500 Houston River Road, Westlake, LA",2012/10/23,330883.71999999997,280,Entergy Louisiana LLC,-93.289599999999993,30.267378000000001,3206.861136336558502
165,"Entergy Texas, Inc. - Nelson","3500 Houston River Road, Westlake, LA",2012/10/23,148032.79000000001,280,Entergy Louisiana LLC,-93.289599999999993,30.267378000000001,3206.861136336558502
167,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2012/12/11,1482815.62999999989,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
168,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2013/04/23,1482815.62999999989,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
169,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2015/08/25,2099608.43000000017,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
170,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2013/08/27,93495305.54000000656,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
171,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2013/10/22,1951040.61000000010,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
172,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2015/08/25,4042372.50000000000,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
173,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2012/06/26,6008241.17999999970,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
174,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2017/02/21,6008241.17999999970,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
175,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2014/08/26,858390.39000000001,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
176,"Entergy Louisiana, LLC - Waterford 3","17265 River Road, Killona, LA",2012/10/23,870895.87000000000,2270,Chevron Midstream Pipelines LLC,-90.462221670000005,29.994721670000001,1084.282239636206896
177,"Entergy Louisiana, LLC - Waterford 1& 2","17705 River Road, Killona, LA",2012/10/23,975792.40000000002,1033,St Charles Parish Department of Public Works,-90.464124999999996,30.004511000000001,4292.057201787418308
178,"Entergy Louisiana, LLC - Waterford 1& 2","17705 River Road, Killona, LA",2012/10/23,219306.56000000000,1033,St Charles Parish Department of Public Works,-90.464124999999996,30.004511000000001,4292.057201787418308
180,"Entergy Louisiana, LLC - Ninemile Point","1617 River Road, Westwego, LA",2012/10/23,264111.15999999997,1616,"Cargill, Inc.",-90.143100000000004,29.936699999999998,3545.669347051599289
181,"Entergy Louisiana, LLC - Little Gypsy","17420 River Road, Montz, LA",2012/10/23,99428.56000000000,1033,St Charles Parish Department of Public Works,-90.464124999999996,30.004511000000001,540.610662665786208
182,Bollinger Larose LLC,"1515 Hwy 24, Larose, LA",2012/10/23,190166.17999999999,1862,"Discovery Producer Services, LLC",-90.397499999999994,29.543333329999999,2476.472710301150073
189,Dow Chemical Company,"21255 LA Hwy 1, Plaquemine, LA",2013/10/22,234902.85000000001,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
192,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2012/10/23,209619.28000000000,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
193,"ACM Properties, LLC (for Matherne Instrumentation)","128 Capital Blvd, Houma, LA",2013/10/22,34174.94000000000,2407,Douglas Patterson,-90.762643609999998,29.602796670000000,2355.738553865141967
196,"KMGP Services Company, Inc","9156 LA Hwy 75, Geismar, LA",2014/08/26,6087306.20000000019,2244,"Delta Terminal Services, LLC",-91.018966669999998,30.197041670000001,489.531297163061140
197,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2012/10/23,239354.41000000000,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
199,Cabot Corporation,"272 Cabot Corp. Plant Lane, Centerville, LA",2012/10/23,1357377.62000000011,1022,EXXONMOBIL PIPELINE COMPANY,-91.434516669999994,29.771647219999998,4535.376333413344582
200,Union Carbide Corporation,"Hwy 18, River Rd, Taft, LA",2012/10/23,821928.27000000002,1455,Dow Chemical Company,-90.443333330000002,29.992500000000000,2540.864287046155823
207,"Americas Styrenics, LLC","9901 Highway 18, St. James, LA",2013/10/22,171726.67000000001,2287,"Americas Styrenics, LLC",-90.911388610000003,30.085556000000000,1351.129055786761910
208,"Americas Styrenics, LLC","9901 Highway 18, St. James, LA",2014/10/28,1471371.62999999989,2287,"Americas Styrenics, LLC",-90.911388610000003,30.085556000000000,1351.129055786761910
209,"Americas Styrenics, LLC","9901 Highway 18, St. James, LA",2014/10/28,14668900.41999999993,2287,"Americas Styrenics, LLC",-90.911388610000003,30.085556000000000,1351.129055786761910
210,"Americas Styrenics, LLC","9901 Highway 18, St. James, LA",2015/12/08,3510865.31000000006,2287,"Americas Styrenics, LLC",-90.911388610000003,30.085556000000000,1351.129055786761910
212,Pioneer Americas LLC,"4205 Highway 75, St. Gabriel, LA",2014/10/28,28489818.28999999911,1143,MPV Investments,-91.125208330000007,30.239722220000001,4258.128236156356252
213,NuStar Logistics LP,"7167 Koch Road, Vacherie, LA",2014/10/28,7811440.67999999970,1150,NuStar Energy LP,-90.840000000000003,30.031388889999999,1461.343172497765408
215,"Entergy Louisiana, LLC - Waterford 1, 2 & 4","17705 River Road, Killona, LA",2014/08/26,5090965.82000000030,1033,St Charles Parish Department of Public Works,-90.464124999999996,30.004511000000001,4292.057201787418308
216,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2012/10/23,1651174.84000000008,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
217,"Parco, Inc. dba Olympian Machine, LLC","280 Equity Blvd., Houma, LA",2012/10/23,150782.51999999999,2407,Douglas Patterson,-90.762643609999998,29.602796670000000,3180.252345075116409
221,Dow Chemical Company,"21255 LA Hwy 1, Plaquemine, LA",2014/08/26,1268933.35000000009,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
222,Union Carbide Corporation,"Hwy 18 River Rd., Taft, LA",2013/10/22,784931.66000000003,1455,Dow Chemical Company,-90.443333330000002,29.992500000000000,2540.864287046155823
224,"Glenco of Houma, Inc","103 W Woodlawn Ranch Rd, Houma, LA",2013/10/22,33171.04000000000,1980,Terrebonne Port Commission,-90.690888889999997,29.556666669999998,3330.331824113577113
226,"Custom Engine Works, LLC","301 Corinne Street, New Iberia, LA",2014/10/28,79160.88000000000,1695,Timothy Thibodeaux,-91.819766999999999,30.010247000000000,1885.120607926619414
227,Dow Chemical Company,"21255 LA Hwy 1, Plaquemine, LA",2013/10/22,246585.31000000000,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
231,"Chemours Company FC, LLC","3460 Highway 44, Darrow, LA",2014/10/28,9941920.75999999978,1066,"Impala Warehousing (US), LLC",-90.921402999999998,30.132679000000000,4529.900647054811998
233,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2013/10/22,151377.82999999999,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
235,Union Carbide Corporation,"Highway 18, River Rd, Taft, LA",2014/08/26,1039495.76000000001,1621,"JOHN W. STONE OIL DISTRIBUTOR, LLC",-90.729838889999996,30.015786110000001,2808.900238334797450
236,Union Carbide Corporation,"Highway 18, River Rd, Taft, LA",2014/08/26,985968.71999999997,1621,"JOHN W. STONE OIL DISTRIBUTOR, LLC",-90.729838889999996,30.015786110000001,2808.900238334797450
238,"Kleinpeter Farms Dairy, LLC","14444 Airline Highway, Baton Rouge, LA",2014/02/25,713690.27000000002,1052,"Salsbury Dodge City, LLC",-91.026697220000003,30.369363889999999,2007.403207219783098
242,"Performance Energy Services, LLC","250 N. American Court, Houma, LA",2013/12/10,306966.23999999999,1028,Terrebonne Port Commission,-90.695455559999999,29.569402780000001,1602.693341060270768
243,"Performance Energy Services, LLC","250 N. American Court, Houma, LA",2014/10/28,306966.23999999999,1028,Terrebonne Port Commission,-90.695455559999999,29.569402780000001,1602.693341060270768
246,Union Carbide Corporation,"Highway 18, River Rd, Taft, LA",2013/10/22,508890.60999999999,1621,"JOHN W. STONE OIL DISTRIBUTOR, LLC",-90.729838889999996,30.015786110000001,2808.900238334797450
247,Southern Ionics Inc,"Gulf States Road, Baton Rouge, LA",2015/10/27,2313868.75000000000,1473,"WATER CAMPUS, L.L.C.",-91.191079000000002,30.435404999999999,3160.550494612301918
249,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2013/10/22,497774.53000000003,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
252,"Westlake Vinyls Company, LP","36045 Hwy 30, Geismar, LA",2014/10/28,1166609.97999999998,2064,Shriver Construction,-91.005933330000005,30.222316670000001,1776.179895313787938
253,"Westlake Vinyls Company, LP","36045 Hwy 30, Geismar, LA",2017/02/21,209223.17999999999,2064,Shriver Construction,-91.005933330000005,30.222316670000001,1776.179895313787938
255,Phillips 66 Company,"15551 Hwy 23, Belle Chasse, LA",2014/12/09,11968969.16999999993,1169,"Cannon Medical Carubba Engineering, Inc.",-89.970979999999997,29.686990000000002,3692.266177609153601
256,"Bollinger Amelia Repair, LLC","606 Ford Industrial Lane, Amelia, LA",2014/08/26,3176082.95000000019,2472,"Bollinger Amelia Repair, LLC",-91.115920000000003,29.640940000000001,1232.575242298845978
257,"Prager, Inc.","181 Riverbend Blvd, St Rose, LA",2013/10/22,1553967.95999999996,1435,St. Charles Parish Department of Public Works,-90.296227779999995,29.972802779999999,1504.969361276413338
258,Union Carbide Corporation,"Hwy 18, River Rd, Taft, LA",2012/10/23,2476072.89000000013,1455,Dow Chemical Company,-90.443333330000002,29.992500000000000,2540.864287046155823
263,"Cameron LNG, LLC","301 North Main St., Hackberry, LA",2014/12/09,215908006.36000001431,8,Entergy,-93.345582899999997,30.004705600000001,2910.202214561456458
267,"Kim Kool, Inc.","2619 Lena Street, Sulphur, LA",2012/10/23,32192.74000000000,1013,Tractor Supply Company,-93.378244440000003,30.211849999999998,1422.144995493576971
268,"Kim Kool, Inc.","2619 Lena Street, Sulphur, LA",2013/10/22,393580.14000000001,1013,Tractor Supply Company,-93.378244440000003,30.211849999999998,1422.144995493576971
269,Oil States Skagit-Smatco LLC,"1180 Mulberry Rd, Houma, LA",2014/10/28,334086.53000000003,147,Terrebonne Port Commission,-90.712000000000003,29.573472219999999,1667.229729795175444
271,"Valero Refining-New Orleans, LLC","15272 River Road, Norco, LA",2013/10/22,73017368.15999999642,2035,"Valero Refining - New Orleans, LLC",-90.402986110000001,29.989916669999999,638.831648182790445
273,"Gulf Island Fabrication, Inc.","567 Thompson Road, Houma, LA",2013/10/22,313281.29999999999,1980,Terrebonne Port Commission,-90.690888889999997,29.556666669999998,5173.132726897152679
274,Dow Chemical Company,"21255 LA Highway 1, Plaquemine, LA",2015/10/27,368957.59000000003,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
275,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2013/10/22,355358.40000000002,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
276,Dow Chemical Company,"21255 LA Highway 1, South, Plaquemine, LA",2015/10/27,1339261.18999999994,608,The Dow Chemical Co.,-91.248768999999996,30.331040000000002,3546.024664419093369
278,Union Carbide Corporation,"Hwy. 18 River Road, Taft, LA",2013/10/22,304719.53999999998,719,Amanda Clark,-93.231166669999993,30.247427779999999,1522.528308155457808
279,"Parish Concrete, LLC","28095 Hwy 22, Pontchatoula, LA",2012/10/23,228282.17000000001,832,"East Bedico Creek Development, LLC",-90.258480000000006,30.448689999999999,4048.201649267768516
281,Phillips 66 Company,"2200 Old Spanish Trail Road, Westlake, LA",2012/10/23,267723.96000000002,2016,Union Pacific Railway Corporation,-93.283394999999999,30.237990000000000,3624.418269907092508
