idx,PN,article_id,Date,CommentDeadline,Applicant,Type,Parish,Analyst,Phone,Email,NoticeURL,PlatsURL,CommentsURL,LIVEMAPURL,Notice,Plats,Comments,LIVEMAP,LDEQAI,LatDMS,LongDMS,Latitude,Longitude,WetlandAcres,ImpactGIS,WetlandNotes,ImpactType,OilGas,Description,Source,TenacreQ,fPlatsURL,fLIVEMAPURL,fCommentsURL,Year,,,,,,,,,,,,,,,,
3043,MVN-2017-00862-MG,http://scott.dada.pink/n/1274856/,8/14/2017,9/3/2017,Port of Lake Charles Bulk Terminal ,404,Calcasieu,Brandon D Gaspard,337-237-2200,Brandon.D.Gaspard@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1274856/mvn-2017-00862-mg/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2017_00862_PNALL.pdf?ver=2017-08-10-152045-263,,,,,,,,,,30.174722,-93.304166,120.00,0,,Restoration ,Yes,Construct a containment area for the beneficial use of material dredged for the previously permitted Port of Lake Charles Bulk Terminal 1 Project,,Mitigation or Restoration,,,,2017,,,,,,,,,,,,,,,,
3042,MVN-2007-00815-ES,http://scott.dada.pink/n/1267995/,8/7/2017,8/27/2017,Marathon Petroleum Corporation,404,St John,Benjamin C Sherman,,Benjamin.C.Sherman@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1267995/mvn-2007-00815-es/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/PN_ALL%202007_815_ES%20.pdf?ver=2017-08-07-112310-367,,,,,,,,,,30.0570664,-90.6155827,3.00,2,,Oil and Gas Facilities ,Yes,"install four storage tanks, containment berms and construction laydown areas",,10 acres or less,,,,2017,,,,,,,,,,,,,,,,
3041,MVN-2011-02065-CC,http://scott.dada.pink/n/1266918/,8/7/2017,8/27/2017,DUGAS CANAL DRAINAGE CONTROL,404,Lafourche,Glenn Dobson,504 862 1588,Glenn.e.Dobson@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1266918/mvn-2011-02065-cc/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2011_02065_PNall.pdf?ver=2017-08-03-154621-110,,,,,,,,,,29.780308,-90.790478,1.30,2,,Drainage Projects,No ,modification of the existing gravity drainage control structure,,10 acres or less destroyed,,,,2017,,,,,,,,,,,,,,,,
3040,MVN-2015-02562-CM,http://scott.dada.pink/n/1264960/,8/7/2017,8/27/2017,Bridgeline Holdings natural gasoline and butane for Marathon,404,St James,Neil T Gauthier,,Neil.T.Gauthier@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1264960/mvn-2015-02562-cm/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2015_02562_%20PNall.pdf?ver=2017-08-02-111207-053,,,,,,,,,,30.148376,-90.793056,26.90,6,,Pipelines,Yes,installation and maintenance of a right of way and two 12-inch natural gas pipelines 4.2 miles in length,,More than 10 acres,,,,2017,,,,,,,,,,,,,,,,
3039,MVN-2007-4409-WJJ,http://scott.dada.pink/n/1263397/,8/7/2017,8/27/2017,Lafayette Consolidated Government,404,Lafayette,Bobby D Quebedeaux,,bobby.d.quebedeaux@usace.army.mil,http://www.mvn.usace.army.mil/Missions/Regulatory/Public-Notices/Article/1263397/mvn-2007-4409-wjj/,http://www.mvn.usace.army.mil/Portals/56/docs/regulatory/publicnotices/2007_4409_PNall.pdf?ver=2017-08-01-081341-647,,,,,,,,,,30.23253,-92.05877,"6,100.00",3,,Drainage Projects,No ,Conduct dredging activities to remove earthen material so as to provide  contours required to concrete line Sunbeam Coulee,,More than 10 acres,,,,2017,,,,,,,,,,,,,,,,
3038,P20150093,,8/18/2017,9/7/2017,Vinton Harbor and Terminal District,EXT,Calcasieu,O'Neal,(225)342-7942,Matthew.O'Neal@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20150093,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20150093&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20150093,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20150093,,,,,,,,"30.0632389,-93.5929637",-93.5929637,16.70,3,,Commercial Developments,,Maintenance of existing channel by dredging ,,,,,,2017,,,,,,,,,,,,,,,,
3037,P20170711,,8/18/2017,9/7/2017,John Pardue,CUP,Lafourche,Zachary,(225)342-6862,Andi.Zachary@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170711,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170711&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170711,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170711,,,,,,,,29.1397222,-90.1335776,0.00,2,,Other ,Yes,A research project design to remediate crude oil from the Deepwater Horizon spill remaining buried at the site of a former breach in sands on Fourchon Beach,,,,,,2017,,,,,,,,,,,,,,,,
3036,P20170260,,8/18/2017,9/7/2017,IBERIA PARISH GOVERNMENT,CUP,Iberia,O'Neal,(225)342-7942,Matthew.O'Neal@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170260,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170260&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170260,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170260,,,,,,,,29.9372222,",-91.9013554",1.75,2,,Transportation Project,No,This project proposes to elevate approximately 1.45 miles of Hayes Road,,,,,,2017,,,,,,,,,,,,,,,,
3035,P20170577,,8/18/2017,9/7/2017,North Lafourche Levee District,CUP,Lafourche,Zumo,(225)342-7272,Stephanie.Zumo@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170577,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170577&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170577,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170577,,,,,,,,29.7761111,-90.7271887,0.00,2,,Utility Project ,No,Maintenance dredging to existing drainage canals in the Lake Bouef Watershed Drainage system,,,,,,2017,,,,,,,,,,,,,,,,
3034,P20170369,,8/16/2017,9/5/2017,Joey Verdin,CUP,Terrebonne,Wolfe,(225)342-0565,Amelia.Wolfe@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170369,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170369&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170369,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170369,,,,,,,,29.4050028,-90.7058498,0.34,2,,Residential Developments,," Fill material dredged from bayou to build up land, to build bulkhead, and to stop coastal erosion",,,,,,2017,,,,,,,,,,,,,,,,
3033,P20170465,,8/16/2017,9/5/2017,Todd Berthelot,CUP,Livingston,James,(225)342-7358,Ontario.James@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170465,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170465&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170465,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170465,,,,,,,,30.2508333,-90.7746887,1.67,2,,Residential Developments,No,"construction of the ""Mariner's Cove Subdivision"" in Maurepas",,,,,,2017,,,,,,,,,,,,,,,,
3032,P20170445,,8/12/2017,9/1/2017,CAMERON PARISH PORT HARBOR & TERMINAL DISTRICT,CUP,Cameron,Wolfe,(225)342-0565,Amelia.Wolfe@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170445,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170445&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170445,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170445,,,,,,,,29.8003694,-93.3476496,132.00,4,,Ports,No ,"Maintenance dredging of the Calcasieu River Loop Pass in Cameron, Louisiana.",,,,,,2017,,,,,,,,,,,,,,,,
3031,P20170737,,8/12/2017,9/1/2017,BP America Production Company,CUP,Cameron,Hester,(225)342-9410,Brad.Hester@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170737,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170737&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170737,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170737,,,,,,,,30.0386833,-93.2838468,0.11,2,,Oil and Gas Facilities ,Yes,Placement of rip rap by heavy machinery along the shore of Lake Calcasieu,,,,,,2017,,,,,,,,,,,,,,,,
3030,P20150682,,8/11/2017,8/31/2017,McMoRan Oil & Gas LLC,CUP,Saint Martin,Zachary,(225)342-6862,Andi.Zachary@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20150682,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20150682&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20150682,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20150682,,,,,,,,29.9586667,-91.3056662,9.83,5,,Pipelines,Yes,Widen an existing pipeline canal ,,,,,,2017,,,,,,,,,,,,,,,,
3029,P20170517,,8/11/2017,8/31/2017,"AT & T COMMUNICATIONS, INC.",CUP,Saint Martin ,Hester,(225)342-9410,Brad.Hester@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170517,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170517&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170517,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170517,,,,,,,,29.5531778,-90.6104387,0.00,2,,Industrial Developments ,No,Bore drill pipe under bayou terrebone for communications purposes ,,,,,,2017,,,,,,,,,,,,,,,,
3028,P20170727,,8/10/2017,8/30/2017,Harvest Pipeline Company,CUP,Terrebonne,Wolfe,(225)342-0565,Amelia.Wolfe@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170727,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170727&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170727,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170727,,,,,,,,29.3402389,-90.6383996,0.20,5,,Pipelines,Yes,Repairs to pipeline,,,,,,2017,,,,,,,,,,,,,,,,
3027,P20170424,,8/8/2017,8/28/2017,Yuhuang Chemical Inc.,CUP,Sait James,Hogan,(225)219-9530,Mark.Hogan@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170424,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170424&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170424,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170424,,,,,,,,29.9924083,-90.8361162,0.35,2,,Oil and Gas Facilities ,Yes,construction of a new water intake structure,,,,,,2017,,,,,,,,,,,,,,,,
3026,P20170621,,8/9/2017,8/29/2017,"HELIS OIL & GAS COMPANY, L.L.C.",CUP,Terrebonne,O'Neal,(225)342-7942,Matthew.O'Neal@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170621,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170621&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170621,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170621,,,,,,,,28.9949833,-90.8465634,0.78,5,,Pipelines,Yes,Jetting operations along the existing 4-inch test flowline,,,,,,2017,,,,,,,,,,,,,,,,
3025,P20170027,,8/8/2017,8/28/2017,"EnergyQuest II, LLC",CUP,Saint Mary ,Zachary,(225)342-6861,Andi.Zachary@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170027,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170027&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170027,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170027,,,,,,,,29.5719528,-91.479322,0.44,5,,Pipelines,Yes,Removal and abandonment of lines and structures ,,,,,,2017,,,,,,,,,,,,,,,,
3024,P20170693,,8/9/2017,8/29/2017,"Contango Operators, INC",CUP,Terrebonne,Zachary,(225)342-6862,Andi.Zachary@la.gov,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_cmd_permit.cart_permit_frame?pcup_num=P20170693,http://sonlite.dnr.state.la.us/sundown/cart_prod/cart_crm_application_his?pcup_num=P20170693&pshow_appl_email=N,http://sonris-www.dnr.state.la.us/sundown/cart_prod/cart_crm_view_cmnt?pcup_num=P20170693,http://sonris-www.dnr.state.la.us/gis/agsweb/IE/JSViewer/index.html?TemplateID=181&layer_type=CUP&filter_value=P20170693,,,,,,,,29.014325,-90.456478,0.96,5,,Pipelines,Yes,Pipeline removal,,,,,,2017,,,,,,,,,,,,,,,,
